start_time,trip_count
"1/29/2014 12",46
"1/29/2014 13",40
"1/29/2014 14",34
"1/29/2014 15",31
"1/29/2014 16",82
"1/29/2014 17",124
"1/29/2014 18",71
"1/29/2014 19",50
"1/29/2014 20",39
"1/29/2014 21",22
"1/29/2014 22",5
"1/29/2014 23",6
"1/29/2014 4",1
"1/29/2014 5",7
"1/29/2014 6",21
"1/29/2014 7",74
"1/29/2014 8",145
"1/29/2014 9",77
"1/29/2015 0",4
"1/29/2015 10",47
"1/29/2015 11",45
"1/29/2015 12",44
"1/29/2015 13",56
"1/29/2015 14",41
"1/29/2015 15",52
"1/29/2015 16",107
"1/29/2015 17",194
"1/29/2015 18",110
"1/29/2015 19",60
"1/29/2015 2",1
"1/29/2015 20",21
"1/29/2015 21",16
"1/29/2015 22",14
"1/29/2015 23",2
"1/29/2015 4",3
"1/29/2015 5",6
"1/29/2015 6",31
"1/29/2015 7",93
"1/29/2015 8",198
"1/29/2015 9",150
"1/3/2014 0",2
"1/3/2014 1",2
"1/3/2014 10",54
"1/3/2014 11",49
"1/3/2014 12",37
"1/3/2014 13",43
"1/3/2014 14",33
"1/3/2014 15",48
"1/3/2014 16",85
"1/3/2014 17",92
"1/3/2014 18",62
"1/3/2014 19",23
"1/3/2014 20",10
"1/3/2014 21",4
"1/3/2014 22",5
"1/3/2014 23",1
"1/3/2014 5",6
"1/3/2014 6",13
"1/3/2014 7",45
"1/3/2014 8",96
"1/3/2014 9",69
"1/3/2015 0",3
"1/3/2015 10",21
"1/3/2015 11",31
"1/3/2015 12",21
"1/3/2015 13",36
"1/3/2015 14",24
"1/3/2015 15",21
"1/3/2015 16",25
"1/3/2015 17",9
"1/3/2015 18",13
"1/3/2015 19",11
"1/3/2015 20",14
"1/3/2015 21",5
"1/3/2015 22",9
"1/3/2015 23",4
"1/3/2015 6",1
"1/3/2015 7",7
"1/3/2015 8",14
"1/3/2015 9",14
"1/30/2014 0",4
"1/30/2014 1",1
"1/30/2014 10",46
"1/30/2014 11",34
"1/30/2014 12",57
"1/30/2014 13",37
"1/30/2014 14",31
"1/30/2014 15",41
"1/30/2014 16",75
"1/30/2014 17",123
"1/30/2014 18",75
"1/30/2014 19",31
"1/30/2014 20",32
"1/30/2014 21",19
"1/30/2014 22",8
"1/30/2014 23",8
"1/30/2014 3",1
"1/30/2014 4",2
"1/30/2014 5",8
"1/30/2014 6",19
"1/30/2014 7",59
"1/30/2014 8",132
"1/30/2014 9",103
"1/30/2015 0",3
"1/30/2015 10",58
"1/30/2015 11",41
"1/30/2015 12",57
"1/30/2015 13",45
"1/30/2015 14",48
"1/30/2015 15",50
"1/30/2015 16",128
"1/30/2015 17",147
"1/30/2015 18",94
"1/30/2015 19",43
"1/30/2015 20",20
"1/30/2015 21",14
"1/30/2015 22",15
"1/30/2015 23",7
"1/30/2015 4",2
"1/30/2015 5",9
"1/30/2015 6",20
"1/30/2015 7",92
"1/30/2015 8",176
"1/30/2015 9",124
"1/31/2014 0",4
"1/31/2014 1",2
"1/31/2014 10",54
"1/31/2014 11",33
"1/31/2014 12",56
"1/31/2014 13",35
"1/31/2014 14",45
"1/31/2014 15",46
"1/31/2014 16",62
"1/31/2014 17",91
"1/31/2014 18",57
"1/31/2014 19",38
"1/31/2014 20",20
"1/31/2014 21",11
"1/31/2014 22",9
"1/31/2014 23",3
"1/31/2014 5",10
"1/31/2014 6",18
"1/31/2014 7",48
"1/31/2014 8",103
"1/31/2014 9",94
"1/31/2015 0",5
"1/31/2015 10",39
"1/31/2015 11",34
"1/31/2015 12",30
"1/31/2015 13",42
"1/31/2015 14",40
"1/31/2015 15",31
"1/31/2015 16",27
"1/31/2015 17",8
"1/31/2015 18",20
"1/31/2015 19",12
"1/31/2015 2",5
"1/31/2015 20",4
"1/31/2015 21",4
"1/31/2015 22",7
"1/31/2015 23",7
"1/31/2015 7",3
"1/31/2015 8",21
"1/31/2015 9",36
"1/4/2014 1",2
"1/4/2014 10",24
"1/4/2014 11",45
"1/4/2014 12",35
"1/4/2014 13",31
"1/4/2014 14",44
"1/4/2014 15",29
"1/4/2014 16",33
"1/4/2014 17",23
"1/4/2014 18",15
"1/4/2014 19",9
"1/4/2014 2",2
"1/4/2014 20",8
"1/4/2014 21",9
"1/4/2014 22",7
"1/4/2014 23",4
"1/4/2014 3",4
"1/4/2014 4",2
"1/4/2014 6",2
"1/4/2014 8",12
"1/4/2014 9",16
"1/4/2015 1",1
"1/4/2015 10",14
"1/4/2015 11",36
"1/4/2015 12",33
"1/4/2015 13",17
"1/4/2015 14",14
"1/4/2015 15",14
"1/4/2015 16",11
"1/4/2015 17",12
"1/4/2015 18",8
"1/4/2015 19",7
"1/4/2015 2",1
"1/4/2015 20",8
"1/4/2015 21",4
"1/4/2015 22",3
"1/4/2015 23",1
"1/4/2015 5",5
"1/4/2015 6",1
"1/4/2015 7",2
"1/4/2015 8",6
"1/4/2015 9",8
"1/5/2014 1",4
"1/5/2014 10",13
"1/5/2014 11",34
"1/5/2014 12",35
"1/5/2014 13",47
"1/5/2014 14",37
"1/5/2014 15",26
"1/5/2014 16",12
"1/5/2014 17",25
"1/5/2014 18",6
"1/5/2014 19",12
"1/5/2014 2",4
"1/5/2014 20",6
"1/5/2014 21",7
"1/5/2014 22",2
"1/5/2014 23",4
"1/5/2014 6",1
"1/5/2014 7",4
"1/5/2014 8",6
"1/5/2014 9",11
"1/5/2015 10",42
"1/5/2015 11",34
"1/5/2015 12",34
"1/5/2015 13",35
"1/5/2015 14",20
"1/5/2015 15",40
"1/5/2015 16",126
"1/5/2015 17",179
"1/5/2015 18",112
"1/5/2015 19",48
"1/5/2015 20",18
"1/5/2015 21",12
"1/5/2015 22",7
"1/5/2015 23",6
"1/5/2015 4",2
"1/5/2015 5",3
"1/5/2015 6",31
"1/5/2015 7",97
"1/5/2015 8",199
"1/5/2015 9",141
